Actor_ID,Name,Birth_Year,Death_Year,Primary_Profession
149,Ellen Page,,,
150,Hailee Steinfeld,1996,,"actress,producer,composer"
151,Richard Dreyfuss,1947,,"actor,producer,writer"
152,Michael J. Fox,,,"miscellaneous,director,actor"
153,Timothy Bottoms,,,
154,Katie Holmes,,,music_department
155,Kane,,,"writer,director,cinematographer"
156,Joshua Jackson,,,"writer,producer"
157,Elisha Cuthbert,1982,,"actress,director,producer"
158,Jennifer Morrison,,,sound_department
159,Camilla Belle,1986,,"actress,producer,director"
160,Chaney Kley,1972,2007,"actor,writer"
161,Joey King,1999,,"actress,producer,soundtrack"
162,Matilda Lutz,,,
163,Sandra Bullock,1964,,"producer,actress,music_department"
164,Tom Everett Scott,1970,,"actor,producer,director"
165,Kerr Smith,1972,,"actor,director,archive_footage"
166,Jennifer Love Hewitt,1979,,"actress,producer,director"
167,Brittany Snow,,,actress
168,Daniel Craig,,,"sound_department,actor,composer"
169,Olivia Cooke,,,casting_department
170,Fernanda Andrade,,,writer
171,Gary Oldman,1958,,"actor,producer,director"
172,Julianne Moore,1960,,"actress,producer,soundtrack"
173,Melissa Sagemiller,1974,,"actress,producer"
174,Anna Paquin,,,
175,Tom Welling,1977,,"actor,producer,director"
176,Greg Kinnear,,,editor
177,Kevin Bacon,,,"sound_department,director,writer"
178,Jonathan Cherry,,,actor
179,Ashley Greene,,,producer
180,Kim Basinger,1953,,"actress,producer,soundtrack"
181,Haley Bennett,,,music_department
182,Christian Slater,,,actor
183,Kate Beckinsale,1973,,"actress,producer,miscellaneous"
184,Nadine Crocker,,,"actress,writer,director"
185,Shannyn Sossamon,1978,,"actress,director,writer"
186,Gregory Hines,,,"director,cinematographer,editor"
187,Christian Bale,1974,,"actor,producer,editorial_department"
188,Jet Li,1963,,"actor,producer,miscellaneous"
189,Patrick Swayze,1952,2009,"actor,producer,miscellaneous"
190,Denzel Washington,,,actor
191,Richard Roundtree,,,
192,Bruce Willis,,,miscellaneous
193,Carlos Gallardo,,,transportation_department
194,Sylvester Stallone,1946,,"actor,writer,producer"
195,Jackie Chan,,,sound_department
196,Chris Evans,,,"visual_effects,miscellaneous"
197,Jean-Claude Van Damme,1960,,"actor,writer,producer"
198,Wesley Snipes,1962,,"actor,producer,stunts"
199,Martin Lawrence,,,music_department
200,Arnold Schwarzenegger,1947,,"actor,producer,writer"
201,Chuck Norris,,,writer
202,Clive Owen,,,
203,Jason Statham,1967,,"actor,producer,stunts"
204,Danny Trejo,1944,,"actor,producer,miscellaneous"
205,Ryan Gosling,1980,,"actor,producer,director"
206,Steven Seagal,1952,,"actor,producer,writer"
207,Will Smith,,,"writer,script_department"
208,Roddy Piper,1954,2015,"actor,producer,archive_footage"
209,Michael Beck,,,writer
210,Casper Van Dien,1968,,"actor,producer,director"
211,Geena Davis,1956,,"actress,producer,writer"
212,Dan Stevens,,,sound_department
213,Gerard Butler,,,miscellaneous
214,Sharlto Copley,1973,,"actor,producer,director"
215,Colin Firth,1960,,"actor,producer,writer"
216,Charlize Theron,1975,,"producer,actress,costume_designer"
217,Robert Downey Jr.,1965,,"actor,producer,writer"
218,Hugh Jackman,,,
219,Sean Connery,,,
220,Gal Gadot,1985,,"actress,producer,soundtrack"
221,Choi Min-sik,1962,,"actor,archive_footage"
222,Gene Hackman,1930,,"actor,producer,stunts"
223,Vin Diesel,1967,,"producer,actor,director"
224,Clint Eastwood,1930,,"actor,producer,director"
225,Chadwick Boseman,1976,2020,"actor,producer,writer"
226,Leonardo DiCaprio,1974,,"producer,actor,writer"
227,Mel Gibson,,,make_up_department
228,Karl Urban,1972,,"actor,producer,miscellaneous"
229,Matt Damon,1970,,"producer,actor,writer"
230,Donnie Yen,1963,,"actor,stunts,producer"
231,William L. Petersen,,,
232,Peter Weller,,,transportation_department
233,Ansel Elgort,1994,,"actor,producer,soundtrack"
234,Bruce Lee,,,visual_effects
235,Russell Crowe,1964,,"actor,producer,director"
236,Keanu Reeves,1964,,"actor,producer,miscellaneous"
237,Chow Yun-Fat,1955,,"actor,writer,soundtrack"
238,Al Pacino,,,actor
239,Sigourney Weaver,,,"producer,director"
240,Tom Hardy,,,producer
241,Andrew Robinson,,,"writer,producer,director"
242,Blanchard Ryan,1967,,actress
243,Naomi Watts,,,music_department
244,Bill Paxton,1955,2017,"actor,producer,writer"
245,Finn Atkins,,,
246,Virginia Madsen,1961,,"actress,producer,miscellaneous"
247,Karen Gillan,1987,,"actress,director,writer"
248,Catherine Mary Stewart,1959,,"actress,stunts,soundtrack"
249,Jason Patric,1966,,"actor,producer,archive_footage"
250,Riley Keough,1989,,"actress,producer,director"
251,Chad Villella,,,"producer,actor,writer"
252,Teresa Palmer,,,miscellaneous
253,Sharni Vinson,1983,,"actress,producer,archive_footage"
254,Song Kang-ho,,,producer
255,Jeremy Irons,1948,,"actor,producer,director"
256,David Arquette,,,
257,John Cusack,,,
258,Yum Jung-ah,1972,,"actress,soundtrack"
259,Elizabeth Reaser,1975,,actress
260,Blake Lively,1987,,"actress,producer,director"
261,John Malkovich,1953,,"actor,producer,writer"
262,Jocelin Donahue,1981,,"actress,soundtrack"
263,Nicole Kidman,1967,,"actress,producer,music_department"
264,Katie Featherston,1982,,"actress,director,producer"
265,Emily Perkins,,,writer
266,Margot Kidder,1948,2018,"actress,producer,soundtrack"
267,Martin Freeman,,,special_effects
268,Nathan Fillion,1971,,"actor,producer,visual_effects"
269,Vincent Price,,,miscellaneous
270,Craig T. Nelson,1944,,"actor,producer,director"
271,Kurt Russell,,,composer
272,Timothy Balme,1967,,"actor,writer,script_department"
273,Emile Hirsch,1985,,"actor,writer,producer"
274,Shauna Macdonald,,,
275,Levi Miller,,,miscellaneous
276,David Naughton,,,camera_department
277,Gregory Peck,1916,2003,"actor,producer,miscellaneous"
278,Elijah Wood,,,sound_department
279,Kaya Scodelario,1992,,"actress,archive_footage"
280,Logan Marshall-Green,1976,,"actor,producer,director"
281,Emma Booth,,,miscellaneous
282,Christopher Walken,1943,,"actor,producer,miscellaneous"
283,Heather Donahue,,,make_up_department
284,Kate Dickie,1971,,"actress,producer,archive_footage"
285,Itay Tiran,1980,,"actor,writer"
286,Chris Sarandon,,,archive_footage
287,Edward Woodward,,,
288,Vera Farmiga,1973,,"actress,producer,director"
289,James Caan,1960,,
290,George Sanders,,,sound_department
291,Kodi Smit-McPhee,1996,,"actor,soundtrack"
292,Jamie Lee Curtis,1958,,"actress,producer,director"
293,John Boyega,1992,,"actor,producer,production_department"
294,John Nance,,,editor
295,Marisa Paredes,,,actress
296,Morgana O'Reilly,1985,,"actress,writer,archive_footage"
297,Lon Chaney,,,actor
298,David Emge,1946,2024,"actor,miscellaneous,archive_footage"
299,Aaron Moorhead,1987,,"director,cinematographer,producer"
300,Jeffrey Combs,,,visual_effects
301,Woody Harrelson,1961,,"actor,producer,director"
302,Joel Edgerton,1974,,"actor,producer,writer"
303,Jack Nicholson,,,sound_department
304,Jeff Goldblum,1952,,"actor,producer,writer"
305,John Saxon,,,actor
306,Jessica Harper,,,"writer,casting_director,script_department"
307,Samantha Robinson,,,miscellaneous
308,Donald Sutherland,,,writer
309,Garance Marillier,1998,,"actress,archive_footage"
310,Bruce Campbell,,2005,"actor,miscellaneous,stunts"
311,Anton Yelchin,1989,2016,"actor,camera_department,soundtrack"
312,Florence Pugh,1996,,"actress,producer,soundtrack"
313,Sheila Vand,1985,,"actress,archive_footage"
314,Samara Weaving,1992,,"actress,producer,director"
315,Simone Simon,,,"costume_designer,costume_department"
316,Rod Taylor,,,transportation_department
317,Narges Rashidi,1980,,"actress,producer,soundtrack"
318,Haley Bishop,,,"producer,actress,writer"
319,John Goodman,,,"writer,producer"
320,Anya Taylor-Joy,1996,,"actress,soundtrack,archive_footage"
321,Kristen Connolly,,,"producer,miscellaneous,production_manager"
322,Catherine Deneuve,1943,,"actress,producer,talent_agent"
323,Mia Farrow,1945,,"actress,soundtrack,archive_footage"
324,Jodie Foster,1962,,"actress,producer,director"
325,Claude Rains,1889,1967,"actor,miscellaneous,soundtrack"
326,Duane Jones,,,"producer,transportation_department"
327,Maika Monroe,1993,,"actress,producer,archive_footage"
328,Toni Collette,1972,,"actress,producer,director"
329,Robert Pattinson,1986,,"actor,producer,writer"
330,Boris Karloff,,,
331,Essie Davis,1970,,"actress,producer,soundtrack"
332,Roy Scheider,1932,2008,"actor,producer,soundtrack"
333,Emily Blunt,1983,,"actress,producer,miscellaneous"
334,Tom Skerritt,,,actor
335,Lupita Nyong'o,1983,,"actress,producer,miscellaneous"
336,Daniel Kaluuya,1989,,"actor,producer,writer"
337,Anthony Perkins,,,producer
338,Israel Broussard,1994,,actor
339,Claes Bang,1967,,"actor,soundtrack,archive_footage"
340,Pierce Brosnan,1953,,"actor,producer,executive"
341,Mark Wahlberg,,,"special_effects,art_department"
342,Benicio Del Toro,1967,,"actor,producer,director"
343,Jason Flemyng,,,actor
344,Robert Redford,,,producer
345,Paul Rudd,,,"producer,writer,director"
346,Felicity Jones,,,"production_manager,miscellaneous"
347,Owen C. Wilson,,,
348,Pam Grier,,,archive_footage
349,Ray Winstone,,,transportation_department
350,Warren Beatty,,,talent_agent
351,Stephen Baldwin,,,"miscellaneous,actor"
352,Barry Keoghan,1992,,"actor,soundtrack,archive_footage"
353,Paul Newman,,,transportation_department
354,William Holden,,,miscellaneous
355,Evan Rachel Wood,1987,,"actress,director,writer"
356,Viola Davis,,,actress
357,Harvey Keitel,1939,,"actor,producer,soundtrack"
358,Ben Affleck,1972,,"producer,actor,writer"
359,Channing Tatum,1980,,"actor,producer,director"
360,Cary Grant,,,"writer,producer"
361,Kate Bosworth,,,sound_department
362,Thomas Guiry,,,
363,Samuel L. Jackson,1948,,"actor,producer,miscellaneous"
364,Drew Barrymore,,,miscellaneous
365,Jaden Smith,,,actor
366,Vince Vaughn,,,actor
367,Leon,,,"writer,cinematographer,editor"
368,Burt Reynolds,,,"stunts,miscellaneous"
369,Tobey Maguire,1975,,"actor,producer,director"
370,Morgan Freeman,,,actor
371,Tom Berenger,1949,,"actor,producer,writer"
372,Seann William Scott,1976,,"actor,producer,writer"
373,Nick Nolte,,,sound_department
374,Anthony Hopkins,,,writer
375,Eddie Redmayne,1982,,"actor,producer,soundtrack"
376,Ben Cross,,,sound_department
377,Taron Egerton,1989,,"actor,producer,soundtrack"
378,Brendan Mackey,,,actor
379,Dennis Christopher,,,actor
380,Chris Hemsworth,1983,,"actor,producer,soundtrack"
381,Steve Carell,1962,,"actor,producer,writer"
382,Michael B. Jordan,1987,,"actor,producer,director"
383,Walter Matthau,1920,2000,"actor,director,producer"
384,Brad Pitt,1963,,"producer,actor,executive"
385,Alex Honnold,1985,,"actor,cinematographer,camera_department"
386,Mickey Rourke,1952,,"actor,writer,producer"
387,Margot Robbie,1990,,"actress,producer,executive"
388,James Purefoy,1964,,"actor,producer,archive_footage"
389,Harry Hamlin,,,
390,Georgie Henley,1995,,"actress,director,writer"
391,Ian McKellen,1939,,"actor,writer,producer"
392,Emma Thompson,,,"special_effects,visual_effects,producer"
393,Meryl Streep,1949,,"actress,writer,producer"
394,Jason Isaacs,,,miscellaneous
395,John Baddeley,1933,,actor
396,Catherine Keener,1959,,"actress,producer,casting_department"
397,Nicol Williamson,1936,2011,"actor,miscellaneous,soundtrack"
398,Peter MacNicol,1954,,"actor,director,writer"
399,Alexandro Jodorowsky,,,
400,Freddie Highmore,1992,,"actor,producer,director"
401,Daniel Radcliffe,1989,,"actor,producer,soundtrack"
402,Mara Wilson,,,
403,Josh Hutcherson,,,
404,Mark Rylance,1960,,"actor,producer,miscellaneous"
405,Cate Blanchett,1969,,"actress,producer,writer"
406,Anjelica Huston,1951,,"actress,producer,director"
407,John Neville,,,stunts
408,Amy Adams,,,visual_effects
409,Julie Andrews,,,music_department
410,Dev Patel,,,"producer,miscellaneous"
411,Lewis MacDougall,2002,,"actor,archive_footage"
412,Albert Brooks,,,actor
413,Jay Baruchel,1982,,"actor,producer,writer"
414,Amy Poehler,1971,,"actress,producer,writer"
415,Ginnifer Goodwin,1978,,"actress,producer,soundtrack"
416,Ed Asner,,,
417,Anthony Gonzalez,,,writer
418,Patton Oswalt,1969,,"actor,writer,producer"
419,Jamie Foxx,1967,,"actor,producer,writer"
420,Ellen DeGeneres,1958,,"producer,writer,actress"
421,Kelly Marie Tran,1989,,"actress,producer,soundtrack"
422,James McAvoy,1979,,"actor,director,producer"
423,Kristen Bell,,,miscellaneous
424,Ryan Potter,,,"music_department,composer,soundtrack"
425,Mandy Moore,,,miscellaneous
426,Noah Schnapp,,,"art_department,visual_effects"
427,John C. Reilly,,,miscellaneous
428,Jack Black,,,writer
429,Kevin Hart,,,"visual_effects,production_manager"
430,Sam Rockwell,,,editor
431,Diego Luna,,,sound_department
432,Seth Rogen,,,
433,Chloe Bennet,,,
434,Ty Burrell,1967,,"actor,producer,writer"
435,Kelly Macdonald,1976,,"actress,soundtrack,archive_footage"
436,Ray Romano,,,actor
437,Jeffrey Wright,,,sound_department
438,Steve Buscemi,1957,,"actor,director,producer"
439,Chris Pine,,,"miscellaneous,art_department"
440,Jamie Bell,,,transportation_department
441,Owen Wilson,,,"producer,miscellaneous"
442,Benedict Cumberbatch,1976,,"actor,producer,miscellaneous"
443,Jason Sudeikis,1975,,"actor,writer,producer"
444,Louis C.K.,1967,,"writer,producer,actor"
445,Anne Hathaway,1982,,"actress,producer,soundtrack"
446,Matthew McConaughey,1969,,"actor,producer,director"
447,Angela Bassett,1958,,"actress,producer,director"
448,Ryan Reynolds,,,transportation_department
449,D.B. Sweeney,1961,,"actor,writer,director"
450,Zach Tyler Eisen,1993,,"actor,sound_department,assistant_director"
451,Mads Mikkelsen,1965,,"actor,miscellaneous,writer"
452,Sam Shepard,1943,2017,"actor,writer,director"
453,Kevin Kline,,,actor
454,Caitlin Gerard,1988,,"actress,director,producer"
455,Robert Duvall,,,actor
456,Tommy Lee Jones,,,sound_department
457,Michelle Williams,,,writer
458,Guy Pearce,1967,,"actor,director,producer"
459,Adrian Pasdar,1965,,"actor,director,producer"
460,John Wayne,,,"miscellaneous,location_management"
461,Jane Fonda,1937,,"actress,producer,miscellaneous"
462,Michael Fassbender,,,
463,James Stewart,,,"writer,director,producer"
464,Jeremy Renner,1971,,"actor,producer,sound_department"
465,Bryan Brown,,,"transportation_department,miscellaneous"
466,Clark Gable,,,
467,Elizabeth Taylor,,,sound_department
468,Gary Cooper,,,"writer,editor,producer"
469,Michael Rennie,,,costume_department
470,Fredric March,1897,1975,"actor,soundtrack,archive_footage"
471,Walter Pidgeon,1897,1984,"actor,soundtrack,archive_footage"
472,Josh Hartnett,,,"art_department,camera_department"
473,Emily Watson,,,visual_effects
474,Noomi Rapace,1979,,"actress,producer,archive_footage"
475,Adam Driver,,,producer
476,Rosalind Chao,1957,,"actress,soundtrack,archive_footage"
477,Ed Helms,1974,,"actor,producer,writer"
478,Zach Braff,1975,,"actor,producer,director"
479,Quvenzhané Wallis,2003,,"actress,soundtrack,archive_footage"
480,Jillian Bell,,,miscellaneous
481,Charlie Plummer,,,archive_footage
482,Ann Dowd,1956,,"actress,soundtrack,archive_footage"
483,Joaquin Phoenix,1974,,"actor,producer,director"
484,Jessica Chastain,1977,,"actress,producer,soundtrack"
485,Joanna Kulig,1982,,"actress,music_department,soundtrack"
486,Oscar Isaac,,,actor
487,Ryan O'Neal,,,sound_department
488,Shia LaBeouf,1986,,"actor,writer,director"
489,Kitana Kiki Rodriguez,,,"actress,archive_footage"
490,Casey Affleck,1975,,"actor,director,writer"
491,Paul Giamatti,1967,,"actor,producer,director"
492,Kumail Nanjiani,1978,,"actor,writer,producer"
493,Wil Wheaton,1972,,"actor,writer,producer"
494,Matthew Modine,1959,,"actor,producer,director"
495,James Franco,,,"actor,miscellaneous"
496,Julian Barratt,,,
497,Idris Elba,1972,,"actor,producer,writer"
498,Fionn Whitehead,1997,,"actor,soundtrack,archive_footage"
499,John Gallagher Jr.,,,producer
500,Ben Kingsley,1943,,"actor,producer,miscellaneous"
501,Lakeith Stanfield,,,
502,Marc Maron,1963,,"actor,writer,producer"
503,Olivia Colman,1974,,"actress,producer,writer"
504,Scarlett Johansson,1984,,"actress,producer,director"
505,Jesse Eisenberg,1983,,"actor,producer,writer"
506,Yalitza Aparicio,1993,,"actress,producer,soundtrack"
507,Carey Mulligan,1985,,"actress,producer,costume_department"
508,Sam Neill,,,art_department
509,Ahmed Hassan,,,writer
510,Christopher George,,,visual_effects
511,Paul Kelman,1967,,actor
512,Jessica Rothe,1987,,"actress,producer,executive"
513,Catherine Hicks,,,"animation_department,director"
514,Betsy Palmer,1926,2015,"actress,miscellaneous,soundtrack"
515,Michael Caine,,,soundtrack
516,Fabrizio Rongione,1973,,"actor,producer,writer"
517,Ethan Hawke,1970,,"actor,producer,writer"
518,Ben Foster,,,writer
519,Laurence Olivier,,,writer
520,Joe Mantegna,,,
521,Gene Kelly,,,"miscellaneous,producer"
522,Fred Astaire,,,
523,Jorma Taccone,1977,,"writer,producer,actor"
524,Rachel McAdams,,,miscellaneous
525,Bette Midler,1945,,"actress,producer,writer"
526,Marlon Wayans,1972,,"actor,writer,producer"
527,Ike Barinholtz,,,
528,Sally Field,,,
529,Skylar Astin,1987,,"actor,soundtrack,archive_footage"
530,Arsher Ali,1984,,actor
531,Elizabeth Perkins,,,producer
532,David Hyde Pierce,1959,,"actor,writer,producer"
533,Anthony Anderson,,,"writer,cinematographer,editor"
534,Wiley Wiggins,1976,,"actor,miscellaneous,animation_department"
535,Courteney Cox,1964,,"actress,producer,director"
536,Maya Rudolph,1972,,"actress,producer,writer"
537,Matt Stone,,,visual_effects
538,Bill Hader,1978,,"actor,writer,producer"
539,David Spade,1964,,"actor,writer,producer"
540,Kevin Heffernan,,,"writer,producer,miscellaneous"
541,Christopher McDonald,,,sound_department
542,Tom Hollander,1967,,"actor,producer,writer"
543,Henry Golding,1987,,"actor,producer,archive_footage"
544,Zhao Wei,,,"producer,writer"
545,F. Murray Abraham,1939,,"actor,soundtrack,archive_footage"
546,Brendan Gleeson,,,actor
547,Shannon Elizabeth,,,"special_effects,art_department"
548,Frances McDormand,1957,,"actress,producer,soundtrack"
549,Imelda Staunton,1956,,"actress,soundtrack,archive_footage"
550,Alec Baldwin,,,"editor,editorial_department,producer"
551,Daniel Stern,,,writer
552,Harold Ramis,,,
553,Alan Arkin,1934,2023,"actor,director,writer"
554,Katie Johnson,,,"visual_effects,casting_department"
555,Kal Penn,1977,,"actor,producer,miscellaneous"
556,Jon Gries,,,producer
557,John Gielgud,,,actor
558,Jessica Lange,,,actress
559,Parker Posey,,,actor
560,John Candy,,,writer
561,Maggie Smith,,,writer
562,Victoria Jackson,,,sound_department
563,Queen Latifah,1970,,"actress,producer,music_department"
564,Shirley MacLaine,1934,,"actress,writer,producer"
565,Dana Carvey,1955,,"actor,writer,producer"
566,Jennifer Jason Leigh,1962,,"actress,producer,writer"
567,Yuen Wah,,,
568,Beanie Feldstein,1993,,"actress,producer,soundtrack"
569,Judge Reinhold,1957,,"actor,producer,director"
570,Jennifer Aniston,1969,,"actress,producer,director"
571,Andie MacDowell,1958,,"actress,producer,writer"
572,Anne Bancroft,1931,2005,"actress,director,writer"
573,Matt Dillon,,,publicist
574,Chris Tucker,,,visual_effects
575,Michael Cera,1988,,"actor,producer,director"
576,Nick Frost,,,miscellaneous
577,Christina Applegate,1971,,"actress,producer,soundtrack"
578,Jeff Anderson,,,stunts
579,Rodney Dangerfield,1921,2004,"actor,writer,producer"
580,Holly Hunter,,,actress
581,Stacey Dash,1967,,"actress,archive_footage"
582,Diane Keaton,1946,,"actress,producer,director"
583,Peter Boyle,,,"sound_department,miscellaneous"
584,Kate Ashfield,1972,,"actress,writer,producer"
585,Arsenio Hall,1956,,"producer,actor,writer"
586,Bernadette Peters,1948,,"actress,soundtrack,archive_footage"
587,Paulette Goddard,1910,1990,"actress,producer,soundtrack"
588,Robin Wright,,,"visual_effects,art_department"
589,Julie Hagerty,1955,,"actress,soundtrack,archive_footage"
590,Virginia Cherrill,1908,1996,"actress,archive_footage"
591,Leon Barry,,,
592,Bruce Cabot,1904,1972,"actor,soundtrack,archive_footage"
593,Frank Morgan,,,writer
594,Katharine Hepburn,1907,2003,"actress,writer,soundtrack"
595,James Mason,,,"writer,script_department"
596,James Garner,,,manager
597,Kate Capshaw,1953,,"actress,producer,art_director"
598,Josh Brolin,1968,,"actor,producer,director"
599,Veronica Cartwright,1949,,"actress,soundtrack,archive_footage"
600,Jennifer Connelly,,,"producer,miscellaneous"
601,Matt Frewer,1958,,"actor,writer,producer"
602,Madeleine Stowe,1958,,"actress,director,writer"
603,Bonnie Hunt,,,"miscellaneous,actress"
604,Rachel Weisz,1970,,"actress,producer,director"
605,Jon Voight,1938,,"actor,producer,writer"
606,Albert Finney,1936,2019,"actor,producer,director"
607,Diane Kruger,1976,,"actress,producer,camera_department"
608,Charlie Cox,,,talent_agent
609,Harry Treadaway,1984,,"actor,music_department,soundtrack"
610,Mia Wasikowska,1989,,"actress,director,writer"
611,Irrfan Khan,1967,2020,"actor,director,producer"
612,Oprah Winfrey,1954,,"producer,actress,miscellaneous"
613,Eugenio Derbez,1962,,"actor,producer,writer"
